Time (s),Temp (C),Degree of Cure,Cure Rate
59.02002,90.112,0.01,
60.0198,90.1129,0.010188858,0.000190808
61.02,90.1126,0.010380508,0.000193547
62.0202,90.113,0.010575166,0.000196586
63.0198,90.1136,0.01077253,0.000199437
64.02,90.1133,0.010972547,0.000201997
65.0202,90.1134,0.011175301,0.000204761
66.0198,90.1139,0.01138132,0.000208183
67.02,90.1145,0.01159055,0.000211301
68.0202,90.1143,0.011802194,0.00021374
69.0198,90.1144,0.012017631,0.0002177
70.02,90.1149,0.012235824,0.000220353
71.0202,90.1149,0.01245685,0.000223214
72.0198,90.115,0.012680126,0.000225622
73.02,90.1157,0.012906592,0.000228708
74.0202,90.1155,0.01313584,0.000231517
75.0198,90.1158,0.013367603,0.000234197
76.02,90.1163,0.013602306,0.000237027
77.0202,90.1157,0.013839423,0.000239464
78.0198,90.1161,0.014079568,0.000242667
79.02,90.1166,0.014322238,0.000245072
80.0202,90.1169,0.014567135,0.000247321
81.0198,90.117,0.01481486,0.000250328
82.02,90.1173,0.015065446,0.000253066
83.0202,90.1176,0.015318569,0.000255629
84.0198,90.1174,0.015573862,0.000257974
85.02,90.1181,0.015831701,0.000260391
86.0202,90.1182,0.016091812,0.000262686
87.0198,90.1185,0.016354378,0.000265324
88.02,90.1181,0.016619914,0.000268165
89.0202,90.119,0.016888018,0.000270758
90.0198,90.1188,0.017158173,0.000272993
91.02,90.1189,0.017430762,0.000275287
92.0202,90.1192,0.017705778,0.000277738
93.0198,90.1194,0.017982932,0.000280066
94.02,90.1194,0.018262478,0.000282313
95.0202,90.1192,0.018544361,0.000284673
96.0198,90.1197,0.018828507,0.000287131
97.02,90.1203,0.019115402,0.000289734
98.0202,90.1203,0.019404774,0.000292237
99.0198,90.1206,0.019696408,0.000294698
100.02,90.1205,0.019990446,0.000296949
101.0202,90.1206,0.020286648,0.000299134
102.0198,90.1207,0.020585134,0.000301622
103.02,90.121,0.020886061,0.000303906
104.0202,90.1209,0.021189057,0.000305995
105.0198,90.1215,0.021494006,0.000308153
106.02,90.1215,0.021801473,0.000310511
107.0202,90.1219,0.022111505,0.000313101
108.0198,90.122,0.022424002,0.00031578
109.02,90.122,0.022738841,0.000317956
110.0202,90.1223,0.023055895,0.000320193
111.0198,90.1222,0.023374799,0.000322254
112.02,90.1222,0.023695959,0.00032434
113.0202,90.1225,0.024019185,0.000326425
114.0198,90.1223,0.024344257,0.000328487
115.02,90.1229,0.024671625,0.000330608
116.0202,90.1231,0.025001091,0.000332727
117.0198,90.1232,0.025332809,0.000335203
118.02,90.1232,0.025666698,0.000337194
119.0202,90.1237,0.026002511,0.000339137
